ID,target
000137c73,20000000.000000015
00021489f,20000000.000000015
0004d7953,1628400.0548087931
00056a333,5262786.035550132
00056d8eb,20000000.000000015
0005fc190,2475176.4981848476
000787e86,20000000.000000015
0008510a0,20000000.000000015
000895faf,20000000.000000015
000986fba,2839247.6785178343
0009efcc5,1744282.2935547037
000dd8f00,20000000.000000015
000e1cdc2,1127050.1813755608
00103739c,20000000.000000015
00134b367,20000000.000000015
001788d0d,1590444.256860111
0019c8ad7,2929726.138200354
001a267b9,932310.2555752844
001a85486,2180412.988786288
001c4de06,3825680.8358530006
001f9014b,20000000.000000015
00216fb94,20000000.000000015
00235690e,20000000.000000015
00240739d,10551343.225890115
0024c3747,20000000.000000015
00297052d,20000000.000000015
002ab8f85,20000000.000000015
002bed5c0,20000000.000000015
002bf3974,4522161.274484187
002d23a26,1822489.5585471322
002f27de9,20000000.000000015
0030d8bb4,3631950.554698509
003146acd,20000000.000000015
003223263,1820628.1531300745
00335575e,3824161.9239718756
00337cf9d,2601423.673224927
003394397,20000000.000000015
0036358a3,20000000.000000015
003770d30,20000000.000000015
003bed5ea,20000000.000000015
003ea6427,2673086.9214116437
003ef8132,20000000.000000015
003fd1723,3601701.847100674
0041861b4,2943749.9999999995
0042b718b,1931585.2452300908
004381d8f,3396541.489754614
0043ca764,20000000.000000015
004486837,1225786.975159686
0045c123e,4000000.0000000005
0048915c6,20000000.000000015
004ab9a09,3039190.460773334
004b2e1c9,2821363.0068408223
004c54732,895019.5850310689
004cdefce,20000000.000000015
004dd971b,3326039.7514812853
004f9329b,20000000.000000015
004fd2bca,1387616.124402934
0054bfedb,2131793.506797815
0054ec58a,249105.30424205447
00551f45d,14569176.893041026
005777b4c,20000000.000000015
00578d6ea,20000000.000000015
005802488,2371454.415450942
0059833b6,3235904.8185870526
005a70085,20000000.000000015
005b148a0,20000000.000000015
005c28df4,3088370.07707671
005f8dc26,20000000.000000015
00603c202,4514555.7944328375
006049609,20000000.000000015
00612f47e,20000000.000000015
00647a57f,20000000.000000015
0065853ee,20000000.000000015
006589d5e,1300842.5826726386
006598823,5487324.601019646
0065c093c,2770384.5829127813
006738351,2494745.392332491
006a0c6a8,1473568.3501672456
006e9efe6,20000000.000000015
006f029d3,20000000.000000015
0070f35a2,20000000.000000015
007135f85,20000000.000000015
007285433,17186458.468420867
00735e101,2468155.3763066293
0074ecf4e,20000000.000000015
007635fa9,2088933.9851712459
007723613,20000000.000000015
007867da9,20000000.000000015
0078bfbd6,1328504.8622137252
0078ce229,20000000.000000015
007a89d50,20000000.000000015
007d43dfa,20000000.000000015
007ee9e05,20000000.000000015
007ffeae2,20000000.000000015
00835c85c,20000000.000000015
0084b08f1,20000000.000000015
0087fb290,1328811.0307016172
0088a96bd,2794857.1400000015
008ac4292,2871228.135347183
008d8cca8,20000000.000000015
008e07b8c,20000000.000000015
008e5e25a,2369246.6646985626
0094edcdb,933333.3399999993
00950141c,20000000.000000015
009566ef1,2970187.5722451177
0095c81d4,20000000.000000015
0097a6ed4,12400000.000000017
0098fef9a,1573210.0637604396
009b321ec,4382111.300506744
009cd681e,20000000.000000015
009f34f86,20000000.000000015
009f35cd3,20000000.000000015
009f65109,2078296.685439256
00a19014a,1904736.6148019256
00a27e76a,360000.0000000001
00a3b6ef7,3050137.101476527
00a427603,2015322.916313619
00a6dc8be,20000000.000000015
00a811734,6370458.805256875
00a8f58a7,20000000.000000015
00aaae151,20000000.000000015
00ab17f67,20000000.000000015
00ac2d3a5,20000000.000000015
00adab1b6,1562917.2268122532
00aef0d56,745249.488049592
00b0b06c4,1137117.194657003
00b0e2303,531000.0000000003
00b1fbbc9,781896.2515042489
00b43e0c1,4245742.995657499
00b7190a8,20000000.000000015
00b722e1b,1468045.5467517292
00bba815f,2677272.9032754865
00bbb1c42,20000000.000000015
00bc2b665,20000000.000000015
00bc35689,3643097.9959484097
00be23f52,3185354.7503626896
00be24ac5,20000000.000000015
00bfd0f70,1875178.507047602
00c02f73e,3996131.3590444736
00c08e5b3,2673462.2697898345
00c8690ff,20000000.000000015
00c8df4d5,2541482.4140084856
00c8e30de,20000000.000000015
00ca3fb04,1630659.8959050525
00cabf621,20000000.000000015
00cb48ae3,1954221.1090658759
00cb6b147,20000000.000000015
00cc91a22,4434706.6681432435
00cd65e9d,2474127.9800481508
00cd7d6a8,992482.998327037
00cdc1483,20000000.000000015
00ce9bea5,2251856.1897862884
00cea0091,3604842.985635183
00cea68c6,20000000.000000015
00d5a5975,3966072.298447619
00d80a3a4,37500000.0
00d9f3864,991147.6012690023
00da4bd31,4123219.293075738
00df4dd77,20000000.000000015
00e1a55bf,20000000.000000015
00e332971,20000000.000000015
00e5b6b1b,5738422.44763888
00e85d5e3,20000000.000000015
00e90abfa,2280585.7392769493
